request,response,result
01 03 00 00 00 64 44 21 ,01 03 C8 03 59 83 F6 04 33 83 6A 03 57 84 0A 04 33 03 4F 03 EA 83 C3 04 33 2F 40 04 33 83 6E 04 33 03 BA 03 C5 04 33 83 BE 04 33 83 4F 83 F2 04 33 04 33 03 9E 03 B4 04 33 03 A4 04 33 03 E2 04 3F 04 33 03 C2 04 33 08 84 33 89 04 33 04 33 08 3B 83 73 03 10 04 33 05 4E 03 0F 04 33 84 16 04 33 83 0C 84 12 04 33 83 08 04 33 03 79 04 26 04 4B 82 EF 04 33 83 B5 82 F2 04 33 03 18 04 33 83 A6 04 33 84 06 04 33 83 3B 83 24 03 29 04 33 07 F5 07 76 04 49 04 33 03 8D 03 12 83 25 04 33 03 7C 04 33 84 02 04 33 03 EB 05 B5 04 33 05 B9 03 01 82 E8 04 33 83 FE 04 33 04 44 04 33 02 F3 04 33 02 ED 83 FB 04 33 82 F6 04 33 E6 FB ,03 59 83 F6 04 33 83 6A 03 57 84 0A 04 33 03 4F 03 EA 83 C3 04 33 2F 40 04 33 83 6E 04 33 03 BA 03 C5 04 33 83 BE 04 33 83 4F 83 F2 04 33 04 33 03 9E 03 B4 04 33 03 A4 04 33 03 E2 04 3F 04 33 03 C2 04 33 08 84 33 89 04 33 04 33 08 3B 83 73 03 10 04 33 05 4E 03 0F 04 33 84 16 04 33 83 0C 84 12 04 33 83 08 04 33 03 79 04 26 04 4B 82 EF 04 33 83 B5 82 F2 04 33 03 18 04 33 83 A6 04 33 84 06 04 33 83 3B 83 24 03 29 04 33 07 F5 07 76 04 49 04 33 03 8D 03 12 83 25 04 33 03 7C 04 33 84 02 04 33 03 EB 05 B5 04 33 05 B9 03 01 82 E8 04 33 83 FE 04 33 04 44 04 33 02 F3 04 33 02 ED 83 FB 04 33 82 F6 04 33
01 03 00 00 00 64 44 21 ,01 03 C8 03 5B 83 F8 04 35 83 6C 03 59 84 0C 04 35 03 51 03 EC 83 C5 04 35 2F 42 04 35 83 70 04 35 03 BC 03 C7 04 35 83 C0 04 35 83 51 83 F4 04 35 04 35 03 A0 03 B6 04 35 03 A6 04 35 03 E4 04 41 04 35 03 C4 04 35 08 86 33 8B 04 35 04 35 08 3D 83 75 03 12 04 35 05 50 03 11 04 35 84 18 04 35 83 0E 84 14 04 35 83 0A 04 35 03 7B 04 28 04 4D 82 F1 04 35 83 B7 82 F4 04 35 03 1A 04 35 83 A8 04 35 84 08 04 35 83 3D 83 26 03 2B 04 35 07 F7 07 78 04 4B 04 35 03 8F 03 14 83 27 04 35 03 7E 04 35 84 04 04 35 03 ED 05 B7 04 35 05 BB 03 03 82 EA 04 35 84 00 04 35 04 46 04 35 02 F5 04 35 02 EF 83 FD 04 35 82 F8 04 35 7E D6 ,03 5B 83 F8 04 35 83 6C 03 59 84 0C 04 35 03 51 03 EC 83 C5 04 35 2F 42 04 35 83 70 04 35 03 BC 03 C7 04 35 83 C0 04 35 83 51 83 F4 04 35 04 35 03 A0 03 B6 04 35 03 A6 04 35 03 E4 04 41 04 35 03 C4 04 35 08 86 33 8B 04 35 04 35 08 3D 83 75 03 12 04 35 05 50 03 11 04 35 84 18 04 35 83 0E 84 14 04 35 83 0A 04 35 03 7B 04 28 04 4D 82 F1 04 35 83 B7 82 F4 04 35 03 1A 04 35 83 A8 04 35 84 08 04 35 83 3D 83 26 03 2B 04 35 07 F7 07 78 04 4B 04 35 03 8F 03 14 83 27 04 35 03 7E 04 35 84 04 04 35 03 ED 05 B7 04 35 05 BB 03 03 82 EA 04 35 84 00 04 35 04 46 04 35 02 F5 04 35 02 EF 83 FD 04 35 82 F8 04 35
01 03 00 00 00 64 44 21 ,01 03 C8 03 5D 83 FA 04 37 83 6E 03 5B 84 0E 04 37 03 53 03 EE 83 C7 04 37 2F 44 04 37 83 72 04 37 03 BE 03 C9 04 37 83 C2 04 37 83 53 83 F6 04 37 04 37 03 A2 03 B8 04 37 03 A8 04 37 03 E6 04 43 04 37 03 C6 04 37 08 88 33 8D 04 37 04 37 08 3F 83 77 03 14 04 37 05 52 03 13 04 37 84 1A 04 37 83 10 84 16 04 37 83 0C 04 37 03 7D 04 2A 04 4F 82 F3 04 37 83 B9 82 F6 04 37 03 1C 04 37 83 AA 04 37 84 0A 04 37 83 3F 83 28 03 2D 04 37 07 F9 07 7A 04 4D 04 37 03 91 03 16 83 29 04 37 03 80 04 37 84 06 04 37 03 EF 05 B9 04 37 05 BD 03 05 82 EC 04 37 84 02 04 37 04 48 04 37 02 F7 04 37 02 F1 83 FF 04 37 82 FA 04 37 16 25 ,03 5D 83 FA 04 37 83 6E 03 5B 84 0E 04 37 03 53 03 EE 83 C7 04 37 2F 44 04 37 83 72 04 37 03 BE 03 C9 04 37 83 C2 04 37 83 53 83 F6 04 37 04 37 03 A2 03 B8 04 37 03 A8 04 37 03 E6 04 43 04 37 03 C6 04 37 08 88 33 8D 04 37 04 37 08 3F 83 77 03 14 04 37 05 52 03 13 04 37 84 1A 04 37 83 10 84 16 04 37 83 0C 04 37 03 7D 04 2A 04 4F 82 F3 04 37 83 B9 82 F6 04 37 03 1C 04 37 83 AA 04 37 84 0A 04 37 83 3F 83 28 03 2D 04 37 07 F9 07 7A 04 4D 04 37 03 91 03 16 83 29 04 37 03 80 04 37 84 06 04 37 03 EF 05 B9 04 37 05 BD 03 05 82 EC 04 37 84 02 04 37 04 48 04 37 02 F7 04 37 02 F1 83 FF 04 37 82 FA 04 37
01 03 00 00 00 64 44 21 ,01 03 C8 03 5F 83 FC 04 39 83 70 03 5D 84 10 04 39 03 55 03 F0 83 C9 04 39 2F 46 04 39 83 74 04 39 03 C0 03 CB 04 39 83 C4 04 39 83 55 83 F8 04 39 04 39 03 A4 03 BA 04 39 03 AA 04 39 03 E8 04 45 04 39 03 C8 04 39 08 8A 33 8F 04 39 04 39 08 41 83 79 03 16 04 39 05 54 03 15 04 39 84 1C 04 39 83 12 84 18 04 39 83 0E 04 39 03 7F 04 2C 04 51 82 F5 04 39 83 BB 82 F8 04 39 03 1E 04 39 83 AC 04 39 84 0C 04 39 83 41 83 2A 03 2F 04 39 07 FB 07 7C 04 4F 04 39 03 93 03 18 83 2B 04 39 03 82 04 39 84 08 04 39 03 F1 05 BB 04 39 05 BF 03 07 82 EE 04 39 84 04 04 39 04 4A 04 39 02 F9 04 39 02 F3 84 01 04 39 82 FC 04 39 FF 98 ,03 5F 83 FC 04 39 83 70 03 5D 84 10 04 39 03 55 03 F0 83 C9 04 39 2F 46 04 39 83 74 04 39 03 C0 03 CB 04 39 83 C4 04 39 83 55 83 F8 04 39 04 39 03 A4 03 BA 04 39 03 AA 04 39 03 E8 04 45 04 39 03 C8 04 39 08 8A 33 8F 04 39 04 39 08 41 83 79 03 16 04 39 05 54 03 15 04 39 84 1C 04 39 83 12 84 18 04 39 83 0E 04 39 03 7F 04 2C 04 51 82 F5 04 39 83 BB 82 F8 04 39 03 1E 04 39 83 AC 04 39 84 0C 04 39 83 41 83 2A 03 2F 04 39 07 FB 07 7C 04 4F 04 39 03 93 03 18 83 2B 04 39 03 82 04 39 84 08 04 39 03 F1 05 BB 04 39 05 BF 03 07 82 EE 04 39 84 04 04 39 04 4A 04 39 02 F9 04 39 02 F3 84 01 04 39 82 FC 04 39
01 03 00 00 00 64 44 21 ,01 03 C8 03 61 83 FE 04 3B 83 72 03 5F 84 12 04 3B 03 57 03 F2 83 CB 04 3B 2F 48 04 3B 83 76 04 3B 03 C2 03 CD 04 3B 83 C6 04 3B 83 57 83 FA 04 3B 04 3B 03 A6 03 BC 04 3B 03 AC 04 3B 03 EA 04 47 04 3B 03 CA 04 3B 08 8C 33 91 04 3B 04 3B 08 43 83 7B 03 18 04 3B 05 56 03 17 04 3B 84 1E 04 3B 83 14 84 1A 04 3B 83 10 04 3B 03 81 04 2E 04 53 82 F7 04 3B 83 BD 82 FA 04 3B 03 20 04 3B 83 AE 04 3B 84 0E 04 3B 83 43 83 2C 03 31 04 3B 07 FD 07 7E 04 51 04 3B 03 95 03 1A 83 2D 04 3B 03 84 04 3B 84 0A 04 3B 03 F3 05 BD 04 3B 05 C1 03 09 82 F0 04 3B 84 06 04 3B 04 4C 04 3B 02 FB 04 3B 02 F5 84 03 04 3B 82 FE 04 3B 40 D2 ,03 61 83 FE 04 3B 83 72 03 5F 84 12 04 3B 03 57 03 F2 83 CB 04 3B 2F 48 04 3B 83 76 04 3B 03 C2 03 CD 04 3B 83 C6 04 3B 83 57 83 FA 04 3B 04 3B 03 A6 03 BC 04 3B 03 AC 04 3B 03 EA 04 47 04 3B 03 CA 04 3B 08 8C 33 91 04 3B 04 3B 08 43 83 7B 03 18 04 3B 05 56 03 17 04 3B 84 1E 04 3B 83 14 84 1A 04 3B 83 10 04 3B 03 81 04 2E 04 53 82 F7 04 3B 83 BD 82 FA 04 3B 03 20 04 3B 83 AE 04 3B 84 0E 04 3B 83 43 83 2C 03 31 04 3B 07 FD 07 7E 04 51 04 3B 03 95 03 1A 83 2D 04 3B 03 84 04 3B 84 0A 04 3B 03 F3 05 BD 04 3B 05 C1 03 09 82 F0 04 3B 84 06 04 3B 04 4C 04 3B 02 FB 04 3B 02 F5 84 03 04 3B 82 FE 04 3B
01 03 00 00 00 64 44 21 ,01 03 C8 03 63 84 00 04 3D 83 74 03 61 84 14 04 3D 03 59 03 F4 83 CD 04 3D 2F 4A 04 3D 83 78 04 3D 03 C4 03 CF 04 3D 83 C8 04 3D 83 59 83 FC 04 3D 04 3D 03 A8 03 BE 04 3D 03 AE 04 3D 03 EC 04 49 04 3D 03 CC 04 3D 08 8E 33 93 04 3D 04 3D 08 45 83 7D 03 1A 04 3D 05 58 03 19 04 3D 84 20 04 3D 83 16 84 1C 04 3D 83 12 04 3D 03 83 04 30 04 55 82 F9 04 3D 83 BF 82 FC 04 3D 03 22 04 3D 83 B0 04 3D 84 10 04 3D 83 45 83 2E 03 33 04 3D 07 FF 07 80 04 53 04 3D 03 97 03 1C 83 2F 04 3D 03 86 04 3D 84 0C 04 3D 03 F5 05 BF 04 3D 05 C3 03 0B 82 F2 04 3D 84 08 04 3D 04 4E 04 3D 02 FD 04 3D 02 F7 84 05 04 3D 83 00 04 3D A8 57 ,03 63 84 00 04 3D 83 74 03 61 84 14 04 3D 03 59 03 F4 83 CD 04 3D 2F 4A 04 3D 83 78 04 3D 03 C4 03 CF 04 3D 83 C8 04 3D 83 59 83 FC 04 3D 04 3D 03 A8 03 BE 04 3D 03 AE 04 3D 03 EC 04 49 04 3D 03 CC 04 3D 08 8E 33 93 04 3D 04 3D 08 45 83 7D 03 1A 04 3D 05 58 03 19 04 3D 84 20 04 3D 83 16 84 1C 04 3D 83 12 04 3D 03 83 04 30 04 55 82 F9 04 3D 83 BF 82 FC 04 3D 03 22 04 3D 83 B0 04 3D 84 10 04 3D 83 45 83 2E 03 33 04 3D 07 FF 07 80 04 53 04 3D 03 97 03 1C 83 2F 04 3D 03 86 04 3D 84 0C 04 3D 03 F5 05 BF 04 3D 05 C3 03 0B 82 F2 04 3D 84 08 04 3D 04 4E 04 3D 02 FD 04 3D 02 F7 84 05 04 3D 83 00 04 3D
01 03 00 00 00 64 44 21 ,01 03 C8 03 65 84 02 04 3F 83 76 03 63 84 16 04 3F 03 5B 03 F6 83 CF 04 3F 2F 4C 04 3F 83 7A 04 3F 03 C6 03 D1 04 3F 83 CA 04 3F 83 5B 83 FE 04 3F 04 3F 03 AA 03 C0 04 3F 03 B0 04 3F 03 EE 04 4B 04 3F 03 CE 04 3F 08 90 33 95 04 3F 04 3F 08 47 83 7F 03 1C 04 3F 05 5A 03 1B 04 3F 84 22 04 3F 83 18 84 1E 04 3F 83 14 04 3F 03 85 04 32 04 57 82 FB 04 3F 83 C1 82 FE 04 3F 03 24 04 3F 83 B2 04 3F 84 12 04 3F 83 47 83 30 03 35 04 3F 08 01 07 82 04 55 04 3F 03 99 03 1E 83 31 04 3F 03 88 04 3F 84 0E 04 3F 03 F7 05 C1 04 3F 05 C5 03 0D 82 F4 04 3F 84 0A 04 3F 04 50 04 3F 02 FF 04 3F 02 F9 84 07 04 3F 83 02 04 3F F7 53 ,03 65 84 02 04 3F 83 76 03 63 84 16 04 3F 03 5B 03 F6 83 CF 04 3F 2F 4C 04 3F 83 7A 04 3F 03 C6 03 D1 04 3F 83 CA 04 3F 83 5B 83 FE 04 3F 04 3F 03 AA 03 C0 04 3F 03 B0 04 3F 03 EE 04 4B 04 3F 03 CE 04 3F 08 90 33 95 04 3F 04 3F 08 47 83 7F 03 1C 04 3F 05 5A 03 1B 04 3F 84 22 04 3F 83 18 84 1E 04 3F 83 14 04 3F 03 85 04 32 04 57 82 FB 04 3F 83 C1 82 FE 04 3F 03 24 04 3F 83 B2 04 3F 84 12 04 3F 83 47 83 30 03 35 04 3F 08 01 07 82 04 55 04 3F 03 99 03 1E 83 31 04 3F 03 88 04 3F 84 0E 04 3F 03 F7 05 C1 04 3F 05 C5 03 0D 82 F4 04 3F 84 0A 04 3F 04 50 04 3F 02 FF 04 3F 02 F9 84 07 04 3F 83 02 04 3F
01 03 00 00 00 64 44 21 ,01 03 C8 03 67 84 04 04 41 83 78 03 65 84 18 04 41 03 5D 03 F8 83 D1 04 41 2F 4E 04 41 83 7C 04 41 03 C8 03 D3 04 41 83 CC 04 41 83 5D 84 00 04 41 04 41 03 AC 03 C2 04 41 03 B2 04 41 03 F0 04 4D 04 41 03 D0 04 41 08 92 33 97 04 41 04 41 08 49 83 81 03 1E 04 41 05 5C 03 1D 04 41 84 24 04 41 83 1A 84 20 04 41 83 16 04 41 03 87 04 34 04 59 82 FD 04 41 83 C3 83 00 04 41 03 26 04 41 83 B4 04 41 84 14 04 41 83 49 83 32 03 37 04 41 08 03 07 84 04 57 04 41 03 9B 03 20 83 33 04 41 03 8A 04 41 84 10 04 41 03 F9 05 C3 04 41 05 C7 03 0F 82 F6 04 41 84 0C 04 41 04 52 04 41 03 01 04 41 02 FB 84 09 04 41 83 04 04 41 89 11 ,03 67 84 04 04 41 83 78 03 65 84 18 04 41 03 5D 03 F8 83 D1 04 41 2F 4E 04 41 83 7C 04 41 03 C8 03 D3 04 41 83 CC 04 41 83 5D 84 00 04 41 04 41 03 AC 03 C2 04 41 03 B2 04 41 03 F0 04 4D 04 41 03 D0 04 41 08 92 33 97 04 41 04 41 08 49 83 81 03 1E 04 41 05 5C 03 1D 04 41 84 24 04 41 83 1A 84 20 04 41 83 16 04 41 03 87 04 34 04 59 82 FD 04 41 83 C3 83 00 04 41 03 26 04 41 83 B4 04 41 84 14 04 41 83 49 83 32 03 37 04 41 08 03 07 84 04 57 04 41 03 9B 03 20 83 33 04 41 03 8A 04 41 84 10 04 41 03 F9 05 C3 04 41 05 C7 03 0F 82 F6 04 41 84 0C 04 41 04 52 04 41 03 01 04 41 02 FB 84 09 04 41 83 04 04 41
01 03 00 00 00 64 44 21 ,01 03 C8 03 69 84 06 04 43 83 7A 03 67 84 1A 04 43 03 5F 03 FA 83 D3 04 43 2F 50 04 43 83 7E 04 43 03 CA 03 D5 04 43 83 CE 04 43 83 5F 84 02 04 43 04 43 03 AE 03 C4 04 43 03 B4 04 43 03 F2 04 4F 04 43 03 D2 04 43 08 94 33 99 04 43 04 43 08 4B 83 83 03 20 04 43 05 5E 03 1F 04 43 84 26 04 43 83 1C 84 22 04 43 83 18 04 43 03 89 04 36 04 5B 82 FF 04 43 83 C5 83 02 04 43 03 28 04 43 83 B6 04 43 84 16 04 43 83 4B 83 34 03 39 04 43 08 05 07 86 04 59 04 43 03 9D 03 22 83 35 04 43 03 8C 04 43 84 12 04 43 03 FB 05 C5 04 43 05 C9 03 11 82 F8 04 43 84 0E 04 43 04 54 04 43 03 03 04 43 02 FD 84 0B 04 43 83 06 04 43 24 67 ,03 69 84 06 04 43 83 7A 03 67 84 1A 04 43 03 5F 03 FA 83 D3 04 43 2F 50 04 43 83 7E 04 43 03 CA 03 D5 04 43 83 CE 04 43 83 5F 84 02 04 43 04 43 03 AE 03 C4 04 43 03 B4 04 43 03 F2 04 4F 04 43 03 D2 04 43 08 94 33 99 04 43 04 43 08 4B 83 83 03 20 04 43 05 5E 03 1F 04 43 84 26 04 43 83 1C 84 22 04 43 83 18 04 43 03 89 04 36 04 5B 82 FF 04 43 83 C5 83 02 04 43 03 28 04 43 83 B6 04 43 84 16 04 43 83 4B 83 34 03 39 04 43 08 05 07 86 04 59 04 43 03 9D 03 22 83 35 04 43 03 8C 04 43 84 12 04 43 03 FB 05 C5 04 43 05 C9 03 11 82 F8 04 43 84 0E 04 43 04 54 04 43 03 03 04 43 02 FD 84 0B 04 43 83 06 04 43
01 03 00 00 00 64 44 21 ,01 03 C8 03 6B 84 08 04 45 83 7C 03 69 84 1C 04 45 03 61 03 FC 83 D5 04 45 2F 52 04 45 83 80 04 45 03 CC 03 D7 04 45 83 D0 04 45 83 61 84 04 04 45 04 45 03 B0 03 C6 04 45 03 B6 04 45 03 F4 04 51 04 45 03 D4 04 45 08 96 33 9B 04 45 04 45 08 4D 83 85 03 22 04 45 05 60 03 21 04 45 84 28 04 45 83 1E 84 24 04 45 83 1A 04 45 03 8B 04 38 04 5D 83 01 04 45 83 C7 83 04 04 45 03 2A 04 45 83 B8 04 45 84 18 04 45 83 4D 83 36 03 3B 04 45 08 07 07 88 04 5B 04 45 03 9F 03 24 83 37 04 45 03 8E 04 45 84 14 04 45 03 FD 05 C7 04 45 05 CB 03 13 82 FA 04 45 84 10 04 45 04 56 04 45 03 05 04 45 02 FF 84 0D 04 45 83 08 04 45 27 24 ,03 6B 84 08 04 45 83 7C 03 69 84 1C 04 45 03 61 03 FC 83 D5 04 45 2F 52 04 45 83 80 04 45 03 CC 03 D7 04 45 83 D0 04 45 83 61 84 04 04 45 04 45 03 B0 03 C6 04 45 03 B6 04 45 03 F4 04 51 04 45 03 D4 04 45 08 96 33 9B 04 45 04 45 08 4D 83 85 03 22 04 45 05 60 03 21 04 45 84 28 04 45 83 1E 84 24 04 45 83 1A 04 45 03 8B 04 38 04 5D 83 01 04 45 83 C7 83 04 04 45 03 2A 04 45 83 B8 04 45 84 18 04 45 83 4D 83 36 03 3B 04 45 08 07 07 88 04 5B 04 45 03 9F 03 24 83 37 04 45 03 8E 04 45 84 14 04 45 03 FD 05 C7 04 45 05 CB 03 13 82 FA 04 45 84 10 04 45 04 56 04 45 03 05 04 45 02 FF 84 0D 04 45 83 08 04 45
